game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,comp_raw,comp_reliability,comp_z,comp_pctile,comp_tier
822708,2026-07-12,New York Yankees @ Washington Nationals,away,Will Warren,Washington Nationals,9,0.319,0.332,0.318,0.333,0.015,0.256,0.258,0.245,0.27,0.025,0.407,0.431,0.4,0.439,0.039,39.9,39.41,39.419,39.891,0.472,90.2,89.073,88.958,90.315,1.357,13.9,13.527,13.939,13.488,-0.451,22.9,19.141,22.101,19.833,-2.268,7.6,8.406,8.978,7.116,-1.862,0.384,0.824,0.316,53.0,negligible
822708,2026-07-12,New York Yankees @ Washington Nationals,home,Cade Cavalli,New York Yankees,9,0.315,0.322,0.318,0.319,0.001,0.247,0.243,0.245,0.245,-0.0,0.378,0.413,0.4,0.39,-0.01,39.0,40.287,39.419,39.859,0.44,89.1,89.159,88.958,89.301,0.343,8.1,15.29,13.939,9.451,-4.488,25.5,22.973,22.101,26.506,4.405,7.5,9.997,8.978,8.351,-0.627,-0.101,0.815,-0.082,23.0,negligible
822876,2026-07-12,Houston Astros @ Texas Rangers,away,Cristian Javier,Texas Rangers,9,0.395,0.328,0.318,0.407,0.089,0.284,0.256,0.245,0.297,0.052,0.429,0.413,0.4,0.443,0.043,39.0,43.377,39.419,42.916,3.497,90.8,89.826,88.958,91.668,2.71,22.2,12.519,13.939,20.78,6.841,12.7,21.663,22.101,12.448,-9.653,19.0,8.77,8.978,18.56,9.582,1.428,0.406,0.58,87.0,slight
822876,2026-07-12,Houston Astros @ Texas Rangers,home,MacKenzie Gore,Houston Astros,9,0.309,0.328,0.318,0.319,0.001,0.24,0.252,0.245,0.247,0.002,0.386,0.427,0.4,0.412,0.012,44.6,38.255,39.419,43.283,3.864,90.1,88.599,88.958,89.741,0.783,16.7,14.416,13.939,17.177,3.238,25.6,20.135,22.101,23.323,1.222,9.2,8.836,8.978,9.054,0.076,0.137,0.824,0.113,30.0,negligible
822951,2026-07-12,Seattle Mariners @ Tampa Bay Rays,away,Emerson Hancock,Tampa Bay Rays,9,0.322,0.314,0.318,0.318,-0.0,0.252,0.251,0.245,0.258,0.013,0.435,0.377,0.4,0.41,0.01,43.6,35.29,39.419,39.033,-0.386,90.0,88.423,88.958,89.465,0.507,13.6,10.874,13.939,10.535,-3.404,24.0,17.136,22.101,18.608,-3.493,6.3,9.208,8.978,6.461,-2.517,0.131,0.815,0.107,27.0,negligible
822951,2026-07-12,Seattle Mariners @ Tampa Bay Rays,home,Ian Seymour,Seattle Mariners,9,0.28,0.328,0.318,0.289,-0.029,0.207,0.249,0.245,0.21,-0.035,0.364,0.412,0.4,0.375,-0.025,36.1,39.929,39.419,36.567,-2.852,88.0,89.318,88.958,88.36,-0.598,22.4,13.755,13.939,22.216,8.277,28.7,22.251,22.101,28.895,6.794,8.4,9.073,8.978,8.489,-0.489,-0.611,0.721,-0.441,73.0,slight
823029,2026-07-12,Atlanta Braves @ St. Louis Cardinals,away,JR Ritchie,St. Louis Cardinals,9,0.337,0.335,0.318,0.355,0.037,0.238,0.261,0.245,0.254,0.009,0.397,0.424,0.4,0.421,0.021,38.9,42.039,39.419,41.486,2.067,89.4,89.538,88.958,89.98,1.022,12.7,12.033,13.939,10.794,-3.145,21.0,18.804,22.101,17.867,-4.234,14.0,8.512,8.978,13.273,4.295,0.616,0.677,0.418,67.0,slight
823029,2026-07-12,Atlanta Braves @ St. Louis Cardinals,home,Dustin May,Atlanta Braves,9,0.302,0.326,0.318,0.31,-0.008,0.244,0.257,0.245,0.256,0.011,0.375,0.433,0.4,0.406,0.006,46.9,40.649,39.419,48.363,8.944,90.2,89.438,88.958,90.68,1.722,10.8,14.564,13.939,11.425,-2.514,23.0,19.993,22.101,20.806,-1.295,6.5,7.244,8.978,5.245,-3.733,0.259,0.809,0.209,40.0,negligible
823199,2026-07-12,Colorado Rockies @ San Francisco Giants,away,Michael Lorenzen,San Francisco Giants,9,0.356,0.323,0.318,0.362,0.044,0.289,0.266,0.245,0.314,0.069,0.465,0.428,0.4,0.498,0.098,46.2,38.17,39.419,44.736,5.317,90.5,88.963,88.958,90.505,1.547,11.6,15.289,13.939,12.95,-0.989,16.3,18.18,22.101,13.408,-8.693,7.9,6.331,8.978,5.571,-3.407,1.103,0.846,0.932,97.0,notable
823199,2026-07-12,Colorado Rockies @ San Francisco Giants,home,Trevor McDonald,Colorado Rockies,9,0.312,0.318,0.318,0.312,-0.006,0.251,0.251,0.245,0.257,0.012,0.358,0.392,0.4,0.351,-0.049,38.2,36.912,39.419,35.771,-3.648,89.0,87.933,88.958,87.975,-0.983,2.7,14.443,13.939,3.204,-10.735,18.8,21.196,22.101,18.03,-4.071,7.5,8.545,8.978,7.138,-1.84,-0.218,0.756,-0.165,37.0,negligible
